Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"Проект №40-04BYA: фасады, размеры и планировка",https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/40-04BYA.jpg,Планы домов и коттеджей,,"Проект дома №40-04BYA. На обложке — исходное изображение этого дома с сайта catalog-plans.ru. Карточка ускоряет сравнение домов между собой и облегчает выбор в ленте Pinterest. Параметры проекта: площадь 160,31 м²; 2 этажа; габариты 9.6×10 м; материал — газобетон; стиль — европейский. Для выбора дома под постоянное проживание такой формат очень удобен. В карточке проекта на сайте вы увидите планы, фасады, размеры и другие детали.",https://catalog-plans.ru/catalog/40-04BYA?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5522_40-04bya_estimate&utm_term=plany-domov-i-kottedzhey,,"проект дома 40-04BYA, проект №40-04BYA, Планы домов и коттеджей, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 160,31 м², дом газобетон, дом европейский, catalog-plans.ru"
Дом №40-04BZA: открыть характеристики проекта,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/40-04BZA.jpg,Красивые фасады частных домов,,"Проект дома №40-04BZA. Для карточки взята реальная визуализация проекта с catalog-plans.ru. Так проще понять, стоит ли открывать проект подробнее и сохранять его в доску. Параметры проекта: площадь 135,94 м²; 2 этажа; габариты 9.4×9.9 м; материал — газобетон; стиль — европейский. Так проще не потерять интересный проект и вернуться к нему позже. После перехода откроются планы этажей, архитектурные виды и основные параметры проекта.",https://catalog-plans.ru/catalog/40-04BZA?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5523_40-04bza_changes&utm_term=krasivye-fasady-chastnyh-domov,,"проект дома 40-04BZA, проект №40-04BZA, Красивые фасады частных домов, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 135,94 м², дом газобетон, дом европейский, catalog-plans.ru"
Проект дома №40-04CB: оценить метраж и фасад,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/40-04CB.jpg,Готовые проекты коттеджей,,"Проект дома №40-04CB. Пин собран на основе канонического изображения дома из catalog-plans.ru. Пин даёт быстрый предпросмотр фасада и ключевых характеристик проекта. Параметры проекта: площадь 202,81 м²; 2 этажа; габариты 9.5×10 м; материал — газобетон; стиль — европейский. Если подбираете дом под участок, такой предпросмотр экономит время. На сайте можно проверить планировку, размеры, фасады и дополнительные характеристики.",https://catalog-plans.ru/catalog/40-04CB?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5524_40-04cb_plans&utm_term=gotovye-proekty-kottedzhey,,"проект дома 40-04CB, проект №40-04CB, Готовые проекты коттеджей, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 202,81 м², дом газобетон, дом европейский, catalog-plans.ru"
Дом №40-04D: сравнить внешний вид и параметры,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/40-04D.jpg,Проекты домов до 150 м²,,"Проект дома №40-04D. На превью размещён реальный фасад проекта из карточки дома на catalog-plans.ru. Это хороший способ быстро оценить архитектурный образ и основные цифры проекта. Параметры проекта: площадь 132,77 м²; 2 этажа; габариты 9×9.5 м; материал — керамзитобетон; стиль — европейский. Карточка хорошо работает для быстрого визуального сравнения проектов. Карточка проекта содержит планы, фасады, параметры и сведения для осознанного выбора.",https://catalog-plans.ru/catalog/40-04D?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5525_40-04d_compare&utm_term=proekty-domov-do-150-m,,"проект дома 40-04D, проект №40-04D, Проекты домов до 150 м², готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 132,77 м², дом керамзитобетон, дом европейский, catalog-plans.ru"
Проект №40-04DFABL: проверить размеры дома,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/40-04DFABL.jpg,Проекты домов для постоянного проживания,,"Проект дома №40-04DFABL. В основе этого пина лежит исходная визуализация дома с catalog-plans.ru. Такой формат делает выбор проекта более наглядным и быстрым. Параметры проекта: площадь 150,95 м²; 2 этажа; габариты 10.4×10.8 м; материал — монолитный каркас; стиль — европейский. Это удобно, когда вы хотите видеть и фасад, и основные цифры в одном кадре. На странице проекта вы сможете сравнить параметры, посмотреть планы и оценить фасады.",https://catalog-plans.ru/catalog/40-04DFABL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5526_40-04dfabl_site&utm_term=proekty-domov-dlya-postoyannogo-prozhivaniya,,"проект дома 40-04DFABL, проект №40-04DFABL, Проекты домов для постоянного проживания, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 150,95 м², дом монолитный каркас, дом европейский, catalog-plans.ru"
Дом №40-04F: архитектура и основные данные,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/40-04F.jpg,Проекты домов 150–200 м²,,"Проект дома №40-04F. Карточка использует настоящий фасад проекта, опубликованный на catalog-plans.ru. Карточка позволяет сразу увидеть проект, номер и базовые параметры дома. Параметры проекта: площадь 170,9 м²; 2 этажа; габариты 9.5×15.45 м; материал — газобетон; стиль — европейский. Пин рассчитан на быстрый переход к полному описанию проекта на сайте. Дальше на сайте доступен полный набор данных: планы, фасады, размеры и характеристики.",https://catalog-plans.ru/catalog/40-04F?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5527_40-04f_facades&utm_term=proekty-domov-150-200-m,,"проект дома 40-04F, проект №40-04F, Проекты домов 150–200 м², готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 170,9 м², дом газобетон, дом европейский, catalog-plans.ru"
"Проект дома №40-04FBW: планы, фасады и размеры",https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/40-04FBW.jpg,Проекты семейных домов,,"Проект дома №40-04FBW. На превью показана реальная визуализация дома с catalog-plans.ru. Такой формат помогает быстро сопоставить внешний вид, площадь и параметры дома. Параметры проекта: площадь 185,32 м²; 2 этажа; габариты 16.9×13.1 м; материал — газобетон; стиль — хай-тек. Такой пин особенно полезен, когда вы сравниваете сразу несколько вариантов. После перехода на сайт можно изучить планы этажей, фасады, размеры и характеристики.",https://catalog-plans.ru/catalog/40-04FBW?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5528_40-04fbw_estimate&utm_term=proekty-semeynyh-domov,,"проект дома 40-04FBW, проект №40-04FBW, Проекты семейных домов, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 185,32 м², дом газобетон, дом хай-тек, catalog-plans.ru"
Дом №40-04FDC: посмотреть параметры и проект,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/40-04FDC.jpg,Двухэтажные проекты домов,,"Проект дома №40-04FDC. В карточке использован настоящий фасад проекта из каталога catalog-plans.ru. Это удобно для первого отбора проектов ещё до детального просмотра на сайте. Параметры проекта: площадь 280,26 м²; 2 этажа; габариты 9.5×15 м; материал — газобетон; стиль — европейский. Это помогает быстрее решить, подходит ли проект по стилю и масштабу. На странице проекта доступны планировка, фасады, габариты и состав документации.",https://catalog-plans.ru/catalog/40-04FDC?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5529_40-04fdc_changes&utm_term=dvuhetazhnye-proekty-domov,,"проект дома 40-04FDC, проект №40-04FDC, Двухэтажные проекты домов, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 280,26 м², дом газобетон, дом европейский, catalog-plans.ru"
"Проект №40-04G: фасады, размеры и планировка",https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/40-04G.jpg,Проекты домов 2 этажа,,"Проект дома №40-04G. На обложке — исходное изображение этого дома с сайта catalog-plans.ru. Карточка ускоряет сравнение домов между собой и облегчает выбор в ленте Pinterest. Параметры проекта: площадь 126,88 м²; 2 этажа; габариты 9.4×9.9 м; материал — газобетон; стиль — европейский. Для выбора дома под постоянное проживание такой формат очень удобен. В карточке проекта на сайте вы увидите планы, фасады, размеры и другие детали.",https://catalog-plans.ru/catalog/40-04G?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5530_40-04g_plans&utm_term=proekty-domov-2-etazha,,"проект дома 40-04G, проект №40-04G, Проекты домов 2 этажа, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 126,88 м², дом газобетон, дом европейский, catalog-plans.ru"
Дом №40-04H: открыть характеристики проекта,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/40-04H.jpg,Проекты домов из газобетона,,"Проект дома №40-04H. Для карточки взята реальная визуализация проекта с catalog-plans.ru. Так проще понять, стоит ли открывать проект подробнее и сохранять его в доску. Параметры проекта: площадь 132,44 м²; 2 этажа; габариты 9.5×10 м; материал — газобетон; стиль — европейский. Так проще не потерять интересный проект и вернуться к нему позже. После перехода откроются планы этажей, архитектурные виды и основные параметры проекта.",https://catalog-plans.ru/catalog/40-04H?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5531_40-04h_compare&utm_term=proekty-domov-iz-gazobetona,,"проект дома 40-04H, проект №40-04H, Проекты домов из газобетона, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 132,44 м², дом газобетон, дом европейский, catalog-plans.ru"
Проект дома №40-04HABL: оценить метраж и фасад,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/40-04HABL.jpg,Проекты домов из газоблока,,"Проект дома №40-04HABL. Пин собран на основе канонического изображения дома из catalog-plans.ru. Пин даёт быстрый предпросмотр фасада и ключевых характеристик проекта. Параметры проекта: площадь 134,88 м²; 2 этажа; габариты 9.8×10.3 м; материал — газобетон; стиль — европейский. Если подбираете дом под участок, такой предпросмотр экономит время. На сайте можно проверить планировку, размеры, фасады и дополнительные характеристики.",https://catalog-plans.ru/catalog/40-04HABL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5532_40-04habl_site&utm_term=proekty-domov-iz-gazobloka,,"проект дома 40-04HABL, проект №40-04HABL, Проекты домов из газоблока, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 134,88 м², дом газобетон, дом европейский, catalog-plans.ru"
Дом №40-04HAZL: сравнить внешний вид и параметры,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/40-04HAZL.jpg,Европейские проекты домов,,"Проект дома №40-04HAZL. На превью размещён реальный фасад проекта из карточки дома на catalog-plans.ru. Это хороший способ быстро оценить архитектурный образ и основные цифры проекта. Параметры проекта: площадь 134,4 м²; 2 этажа; габариты 9.8×10.3 м; материал — газобетон; стиль — европейский. Карточка хорошо работает для быстрого визуального сравнения проектов. Карточка проекта содержит планы, фасады, параметры и сведения для осознанного выбора.",https://catalog-plans.ru/catalog/40-04HAZL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5533_40-04hazl_facades&utm_term=evropeyskie-proekty-domov,,"проект дома 40-04HAZL, проект №40-04HAZL, Европейские проекты домов, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 134,4 м², дом газобетон, дом европейский, catalog-plans.ru"
Проект №40-04HB: проверить размеры дома,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/40-04HB.jpg,Проекты домов в европейском стиле,,"Проект дома №40-04HB. В основе этого пина лежит исходная визуализация дома с catalog-plans.ru. Такой формат делает выбор проекта более наглядным и быстрым. Параметры проекта: площадь 131,94 м²; 2 этажа; габариты 9.5×10 м; материал — газобетон; стиль — европейский. Это удобно, когда вы хотите видеть и фасад, и основные цифры в одном кадре. На странице проекта вы сможете сравнить параметры, посмотреть планы и оценить фасады.",https://catalog-plans.ru/catalog/40-04HB?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5534_40-04hb_estimate&utm_term=proekty-domov-v-evropeyskom-stile,,"проект дома 40-04HB, проект №40-04HB, Проекты домов в европейском стиле, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 131,94 м², дом газобетон, дом европейский, catalog-plans.ru"
Дом №40-04KL1: архитектура и основные данные,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/40-04KL1.jpg,Проекты частных домов с планировкой,,"Проект дома №40-04KL1. Карточка использует настоящий фасад проекта, опубликованный на catalog-plans.ru. Карточка позволяет сразу увидеть проект, номер и базовые параметры дома. Параметры проекта: площадь 131,85 м²; 2 этажа; габариты 9.62×10.12 м; материал — кирпич; стиль — европейский. Пин рассчитан на быстрый переход к полному описанию проекта на сайте. Дальше на сайте доступен полный набор данных: планы, фасады, размеры и характеристики.",https://catalog-plans.ru/catalog/40-04KL1?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5535_40-04kl1_changes&utm_term=proekty-chastnyh-domov-s-planirovkoy,,"проект дома 40-04KL1, проект №40-04KL1, Проекты частных домов с планировкой, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 131,85 м², дом кирпич, дом европейский, catalog-plans.ru"
"Проект дома №40-04L: планы, фасады и размеры",https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/40-04L.jpg,Проекты домов с размерами,,"Проект дома №40-04L. На превью показана реальная визуализация дома с catalog-plans.ru. Такой формат помогает быстро сопоставить внешний вид, площадь и параметры дома. Параметры проекта: площадь 131,85 м²; 2 этажа; габариты 9.88×10.38 м; материал — кирпич; стиль — европейский. Такой пин особенно полезен, когда вы сравниваете сразу несколько вариантов. После перехода на сайт можно изучить планы этажей, фасады, размеры и характеристики.",https://catalog-plans.ru/catalog/40-04L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5536_40-04l_plans&utm_term=proekty-domov-s-razmerami,,"проект дома 40-04L, проект №40-04L, Проекты домов с размерами, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 131,85 м², дом кирпич, дом европейский, catalog-plans.ru"
Дом №40-04N: посмотреть параметры и проект,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/40-04N.jpg,Планы домов и коттеджей,,"Проект дома №40-04N. В карточке использован настоящий фасад проекта из каталога catalog-plans.ru. Это удобно для первого отбора проектов ещё до детального просмотра на сайте. Параметры проекта: площадь 134,01 м²; 2 этажа; габариты 9.4×9.9 м; материал — газобетон; стиль — европейский. Это помогает быстрее решить, подходит ли проект по стилю и масштабу. На странице проекта доступны планировка, фасады, габариты и состав документации.",https://catalog-plans.ru/catalog/40-04N?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5537_40-04n_compare&utm_term=plany-domov-i-kottedzhey,,"проект дома 40-04N, проект №40-04N, Планы домов и коттеджей, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 134,01 м², дом газобетон, дом европейский, catalog-plans.ru"
"Проект №40-04PAK1L: фасады, размеры и планировка",https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/40-04PAK1L.jpg,Красивые фасады частных домов,,"Проект дома №40-04PAK1L. На обложке — исходное изображение этого дома с сайта catalog-plans.ru. Карточка ускоряет сравнение домов между собой и облегчает выбор в ленте Pinterest. Параметры проекта: площадь 145,56 м²; 2 этажа; габариты 10.06×10.06 м; материал — кирпич; стиль — европейский. Для выбора дома под постоянное проживание такой формат очень удобен. В карточке проекта на сайте вы увидите планы, фасады, размеры и другие детали.",https://catalog-plans.ru/catalog/40-04PAK1L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5538_40-04pak1l_site&utm_term=krasivye-fasady-chastnyh-domov,,"проект дома 40-04PAK1L, проект №40-04PAK1L, Красивые фасады частных домов, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 145,56 м², дом кирпич, дом европейский, catalog-plans.ru"
